"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
27623,"0100000000","80","1971-12-31 00:00:00",NULL,"LIVE ANIMALS",0,30963,"1971-12-31 00:00:00",NULL," LIVE ANIMALS","01",1,"01","0",2
27624,"0101000000","80","1972-01-01 00:00:00",NULL,"Live horses, asses, mules and hinnies",0,30964,"1972-01-01 00:00:00",NULL," Live horses, asses, mules and hinnies","01",1,"0101","0",4
93797,"0101210000","10","2012-01-01 00:00:00",NULL,"Horses",1,147427,"2019-01-01 00:00:00",NULL," - Horses","01",1,"010121","0",6
93796,"0101210000","80","2012-01-01 00:00:00",NULL,"Pure-bred breeding animals",2,147428,"2019-01-01 00:00:00",NULL," - - Pure-bred breeding animals","01",1,"010121","1",6
93798,"0101290000","80","2012-01-01 00:00:00",NULL,"Other",2,147429,"2019-01-01 00:00:00",NULL," - - Other","01",1,"010129","0",6
93799,"0101291000","80","2012-01-01 00:00:00",NULL,"For slaughter",3,121685,"2014-01-01 00:00:00",NULL," - - - For slaughter","01",1,"01012910","1",8
93800,"0101299000","80","2012-01-01 00:00:00",NULL,"Other",3,121686,"2014-01-01 00:00:00",NULL," - - - Other","01",1,"01012990","1",8
93801,"0101300000","80","2012-01-01 00:00:00",NULL,"Asses",1,121687,"2014-01-01 00:00:00",NULL," - Asses","01",1,"010130","1",6
72763,"0101900000","80","2002-01-01 00:00:00",NULL,"Other",1,121688,"2014-01-01 00:00:00",NULL," - Other","01",1,"010190","1",6
27633,"0102000000","80","1972-01-01 00:00:00",NULL,"Live bovine animals",0,121689,"2014-01-01 00:00:00",NULL," Live bovine animals","01",1,"0102","0",4
94053,"0102210000","10","2012-01-01 00:00:00",NULL,"Cattle",1,147430,"2019-01-01 00:00:00",NULL," - Cattle","01",1,"010221","0",6
94047,"0102210000","80","2012-01-01 00:00:00",NULL,"Pure-bred breeding animals",2,147431,"2019-01-01 00:00:00",NULL," - - Pure-bred breeding animals","01",1,"010221","0",6
94048,"0102211000","80","2012-01-01 00:00:00",NULL,"Heifers (female bovines that have never calved)",3,121692,"2014-01-01 00:00:00",NULL," - - - Heifers (female bovines that have never calved)","01",1,"01022110","1",8
94049,"0102213000","80","2012-01-01 00:00:00",NULL,"Cows",3,121693,"2014-01-01 00:00:00",NULL," - - - Cows","01",1,"01022130","1",8
94050,"0102219000","80","2012-01-01 00:00:00",NULL,"Other",3,143796,"2018-01-01 00:00:00",NULL," - - - Other","01",1,"01022190","1",8
94056,"0102290000","80","2012-01-01 00:00:00",NULL,"Other",2,147432,"2019-01-01 00:00:00",NULL," - - Other","01",1,"010229","0",6
